,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5694444444444444,4.089927128001558,0.0,0,26,0.6666666666666666,1.4631626944473861,0.0,0,7,7.736111111111111,7.338866350562878,5.0,0,37,3.5416666666666665,2.7007432466835946,3.0,0,11,0.1388888888888889,0.45364115481247186,0.0,0,3,0.08333333333333333,0.3250135425130796,0.0,0,2,4.458333333333333,3.5640517376621235,4.5,0,14,1.5277777777777777,1.6442149736269944,1.0,0,8,1.5416666666666667,2.115918872749222,1.0,0,13,0.2638888888888889,0.503314522547481,0.0,0,2,1.1666666666666667,1.9355823085674853,0.0,0,9,1.0694444444444444,1.6126820359211498,0.0,0,8,7.166666666666667,6.2370993619393476,5.0,0,30,9.222222222222221,6.757827432828806,9.0,0,27,0.09722222222222222,0.3423087405623974,0.0,0,2,2.013888888888889,2.1525815196521694,1.0,0,8,0.0,0.0,0.0,0,0,15.61111111111111,10.273109374129747,13.0,2,53,2.013888888888889,1.8876399719058654,2.0,0,9,1.6944444444444444,2.816645137012475,0.5,0,17,8.791666666666666,4.950280970827903,8.0,1,21,233.68055555555554,86.56461014331708,234.0,52.0,434.0
1,2.869565217391304,4.982065020351267,0.0,0,21,0.7536231884057971,1.5756025654206944,0.0,0,9,1.1014492753623188,1.1264850007647669,1.0,0,4,0.6086956521739131,0.9734322433948953,0.0,0,5,5.884057971014493,4.309825408924759,5.0,0,17,3.710144927536232,2.8496720620169724,3.0,0,12,0.043478260869565216,0.20542514084466046,0.0,0,1,0.043478260869565216,0.2054251408446605,0.0,0,1,2.927536231884058,2.68064325346444,2.0,0,12,0.7101449275362319,0.8062522097619021,1.0,0,3,0.9130434782608695,1.6155415267186508,0.0,0,10,0.6956521739130435,0.9747450319123722,0.0,0,4,0.2608695652173913,1.1459926844166906,0.0,0,9,0.17391304347826086,0.5930113018249075,0.0,0,4,0.014492753623188406,0.12038585308576921,0.0,0,1,0.855072463768116,1.4478722961118677,0.0,0,7,0.0,0.0,0.0,0,0,1.2753623188405796,1.4025612912162067,1.0,0,6,1.318840579710145,1.4399014837949689,1.0,0,6,0.17391304347826086,0.6173120513953652,0.0,0,4,1.5217391304347827,1.451253977571424,1.0,0,6,189.85507246376812,97.52349269946956,155.0,50.0,467.0
2,0.14335664335664336,0.7184837290088396,0.0,0,7,0.07692307692307693,0.3666237246354728,0.0,0,3,1.4685314685314685,3.0717826033370508,0.0,0,21,0.6503496503496503,1.1471321449673622,0.0,0,7,0.11888111888111888,0.46625812427159935,0.0,0,4,0.07342657342657342,0.3426319285315804,0.0,0,3,0.5314685314685315,1.2185939312099396,0.0,0,8,0.2202797202797203,0.5654446398899475,0.0,0,3,0.23076923076923078,0.5643478794279685,0.0,0,4,0.024475524475524476,0.17600509690258656,0.0,0,2,0.21328671328671328,0.705839081331662,0.0,0,8,0.15734265734265734,0.4100474102651967,0.0,0,2,1.034965034965035,2.0119383598126053,0.0,0,10,1.493006993006993,2.8268673468067362,0.0,0,16,0.027972027972027972,0.16518170511908492,0.0,0,1,0.6608391608391608,1.2398378482001058,0.0,0,8,0.0,0.0,0.0,0,0,2.097902097902098,2.877168894333786,1.0,0,19,0.35664335664335667,0.7894532365568573,0.0,0,6,0.35664335664335667,0.9544399986147426,0.0,0,8,1.6573426573426573,2.2729682119863184,1.0,0,13,77.51398601398601,67.56365274410582,63.5,0.0,421.0
