Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Petter Øverby,NOR,11,LP,0,0,14,6,0,0,0,0,1,0,0,0,0,0,1,3,0,5,3,5,2,216.0,5
Veron Nacinovic,CRO,21,LP,0,0,18,6,0,0,0,0,0,0,0,0,1,0,0,5,0,4,1,4,5,232.0,5
Tobias Wagner,AUT,55,LP,0,0,23,10,1,0,0,0,0,0,6,1,0,1,0,2,0,2,0,0,2,212.0,5
Oscar Bergendahl,SWE,32,LP,0,0,10,3,0,0,0,1,1,1,0,0,0,0,0,7,0,5,3,2,4,229.0,5
Luís Frade,POR,82,LP,0,0,23,10,0,0,0,1,2,0,0,0,0,0,0,3,0,8,1,1,4,262.0,5
Magnus Saugstrup Jensen,DEN,15,LP,0,0,10,3,0,0,0,0,4,1,0,0,0,0,0,2,0,11,6,9,1,405.0,5
Salvador Salvador,POR,31,LB,0,0,2,4,0,0,1,0,4,1,5,5,2,6,0,4,0,10,6,1,3,239.0,5
Max Darj,SWE,5,LP,0,0,20,4,0,0,0,0,2,0,0,0,0,0,0,5,0,4,2,6,2,295.0,5
Lars Kooij,NED,15,LP,0,0,18,7,0,0,0,0,0,1,0,1,0,0,0,4,0,4,2,3,5,209.0,5
Magnus Gullerud,NOR,21,LP,0,0,19,7,0,0,0,0,1,0,1,1,0,0,0,4,0,2,2,3,2,190.0,5
Adrián Sipos,HUN,2,LP,0,0,2,3,0,0,0,0,2,0,0,0,0,0,1,8,0,2,3,9,1,233.0,5
Bence Bánhidi,HUN,27,LP,0,0,29,11,1,0,2,0,0,0,0,0,0,0,1,3,0,11,0,1,7,256.0,5
