Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Klemen Ferlin,SLO,26,GK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,356.0,6
Viran Morros de Argila,ESP,24,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,43.0,6
Vladan Djurdjevic,BIH,36,RW,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,83.0,6
Daniel Dujshebaev Dovichebaeva,ESP,59,LB,0,0,1,0,0,0,0,1,2,0,1,0,0,2,0,0,0,5,2,2,1,92.0,6
Dan Lucian Vasile,ROU,12,GK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.0,6
Remi Desbonnet,FRA,92,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,167.0,6
Arjan Versteijnen,NED,30,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.0,6
Bozo Andjelic,MNE,32,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,23.0,6
Marvin Lier,SUI,9,LW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,6
Maximilian Gerbl,SUI,27,RW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,6
Eric Damböck,AUT,45,LW,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,23.0,6
Nicholas Satchwell,FAR,16,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,6
Jan Hrdlicka,CZE,4,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6
Urban Lesjak,SLO,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,6
