,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.361111111111111,6.05287548090175,1.0,0,21,1.2222222222222223,2.00158667220513,0.0,0,9,1.4444444444444444,1.1324926854243615,1.0,0,4,0.8611111111111112,1.0994226479066904,1.0,0,5,8.86111111111111,3.7121636184520117,9.0,2,17,5.027777777777778,3.121227882110419,4.5,0,12,0.05555555555555555,0.2323106841457232,0.0,0,1,0.027777777777777776,0.16666666666666666,0.0,0,1,4.416666666666667,2.8119642346841576,4.0,0,12,0.9166666666666666,0.8742343589025281,1.0,0,3,1.3611111111111112,2.016401005721088,1.0,0,10,1.0277777777777777,1.1584746402332213,1.0,0,4,0.1388888888888889,0.42445109277598775,0.0,0,2,0.08333333333333333,0.280305955290694,0.0,0,1,0.0,0.0,0.0,0,0,0.8333333333333334,1.0281745265969475,0.5,0,4,0.0,0.0,0.0,0,0,1.4722222222222223,1.4829721336580635,1.0,0,5,1.7777777777777777,1.6407508927510879,1.0,0,6,0.1111111111111111,0.3187276291558383,0.0,0,1,1.8888888888888888,1.3685817012571346,2.0,0,5,248.97222222222223,68.04682678068562,263.0,101.0,363.0
1,0.22362869198312235,1.180971446082172,0.0,0,11,0.06329113924050633,0.3056712044301271,0.0,0,3,0.9324894514767933,2.1929392001816526,0.0,0,16,0.3670886075949367,0.8363137719577942,0.0,0,4,0.4430379746835443,1.117050088892251,0.0,0,7,0.3628691983122363,0.9931827987845303,0.0,0,5,0.16033755274261605,0.5203778491772344,0.0,0,4,0.06751054852320675,0.28314091257059276,0.0,0,2,0.2616033755274262,0.6694944675069806,0.0,0,5,0.06329113924050633,0.2765605407056321,0.0,0,2,0.14345991561181434,0.45622977256855896,0.0,0,3,0.1350210970464135,0.3777684526139216,0.0,0,2,0.26582278481012656,0.7925852479332204,0.0,0,5,0.45147679324894513,1.0182487107574283,0.0,0,5,0.02531645569620253,0.15741693082200073,0.0,0,1,0.4810126582278481,1.0837094116146364,0.0,0,7,0.0,0.0,0.0,0,0,0.9282700421940928,1.355748262214277,0.0,0,7,0.26582278481012656,0.6517680145058439,0.0,0,4,0.1940928270042194,0.6074109056444312,0.0,0,4,0.7637130801687764,1.0984733869033712,0.0,0,6,70.41350210970464,66.56141158235603,57.0,0.0,421.0
2,1.0238095238095237,2.5422104385855677,0.0,0,10,0.5238095238095238,1.3110802702462714,0.0,0,7,6.380952380952381,7.394633456020429,4.5,1,37,3.3095238095238093,2.7183934929193216,3.0,0,11,0.16666666666666666,0.5372316876161175,0.0,0,3,0.07142857142857142,0.34165002367328795,0.0,0,2,4.523809523809524,2.8131927460180446,5.0,0,10,1.0952380952380953,1.0075210779014976,1.0,0,3,1.4523809523809523,1.7278547385926628,1.0,0,7,0.14285714285714285,0.3541688016605732,0.0,0,1,0.7857142857142857,1.4404557931384296,0.0,0,5,0.7619047619047619,1.3216679006047496,0.0,0,6,6.904761904761905,4.6054555337811385,6.0,0,17,9.952380952380953,6.0160451353732265,9.0,0,27,0.11904761904761904,0.3952387949002385,0.0,0,2,2.0,2.0952908873087344,1.5,0,8,0.0,0.0,0.0,0,0,14.428571428571429,6.2201202134993565,13.0,3,34,1.8333333333333333,1.7379082839010906,1.5,0,6,1.2142857142857142,1.9697184927716322,0.0,0,9,8.380952380952381,3.70860818645,8.0,1,19,229.3095238095238,69.2987481304723,236.5,111.0,405.0
3,0.7142857142857143,2.8897258458057102,0.0,0,26,0.2653061224489796,0.7114819789382454,0.0,0,3,3.7653061224489797,5.503140659824878,2.0,0,23,1.7244897959183674,1.9988688153883225,1.0,0,10,0.17346938775510204,0.8251898901000498,0.0,0,7,0.11224489795918367,0.47369251545755386,0.0,0,3,1.336734693877551,1.7758046095675182,1.0,0,8,0.6530612244897959,0.8979018018121214,0.0,0,3,0.5612244897959183,0.8256996599649487,0.0,0,4,0.12244897959183673,0.41281797797224423,0.0,0,2,0.5204081632653061,1.2118792753723466,0.0,0,8,0.32653061224489793,0.5703229362655418,0.0,0,2,2.979591836734694,2.86457061008083,2.5,0,10,3.979591836734694,4.079062940291618,3.0,0,16,0.05102040816326531,0.22117068930131148,0.0,0,1,1.469387755102041,1.927575698876717,1.0,0,8,0.0,0.0,0.0,0,0,5.387755102040816,3.8546601948495027,4.5,0,19,0.8775510204081632,1.1054252913198928,1.0,0,6,1.010204081632653,1.7963014577162368,0.0,0,9,4.153061224489796,2.8514855626039366,4.0,0,13,125.28571428571429,73.9488538767892,104.0,26.0,467.0
4,2.0714285714285716,4.2691070173134245,0.0,0,14,1.0714285714285714,2.164904890939366,0.0,0,6,10.214285714285714,5.604648776871563,10.0,4,25,4.071428571428571,2.2689979392568094,4.0,1,9,0.14285714285714285,0.36313651960128146,0.0,0,1,0.14285714285714285,0.36313651960128146,0.0,0,1,8.214285714285714,3.4901745918103706,8.0,0,14,3.5,2.210116599778253,3.0,0,8,3.0,3.281650616569468,3.0,0,13,0.6428571428571429,0.6333236937766509,1.0,0,2,2.9285714285714284,2.64471274328716,2.5,0,9,2.642857142857143,2.1699749327564155,2.5,0,8,12.857142857142858,8.72535776526488,14.5,0,30,13.214285714285714,7.627667971360492,15.0,0,24,0.0,0.0,0.0,0,0,1.5,1.5566235649883124,1.0,0,5,0.0,0.0,0.0,0,0,28.928571428571427,11.697891234776437,30.0,7,53,3.4285714285714284,2.344036154692477,2.5,1,9,2.5714285714285716,4.535573676110727,1.0,0,17,14.571428571428571,4.669282364796308,16.0,7,21,323.85714285714283,68.08123783433248,322.5,200.0,434.0
