Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Klemen Ferlin,SLO,26,GK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,356.0,2
Zoran Ilic,HUN,43,RB,0,0,2,0,0,0,0,0,2,0,0,0,3,3,0,3,0,5,0,1,4,179.0,0
Viran Morros de Argila,ESP,24,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,43.0,2
Petar Djordjic,SRB,44,LB,0,0,1,1,0,0,0,1,0,0,0,0,7,7,0,0,0,2,0,0,4,26.0,2
Vladan Djurdjevic,BIH,36,RW,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,83.0,2
Lukas Sandell,SWE,33,RB,0,0,5,1,0,0,5,2,4,0,0,0,11,8,0,6,0,17,1,1,10,246.0,0
Sebastian Hein Barthold,NOR,6,LW,0,0,2,0,5,5,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,133.0,1
Rui Silva,POR,14,CB,0,0,3,3,0,0,1,1,1,0,0,0,3,2,0,0,0,19,0,0,6,141.0,0
Daniel Dujshebaev Dovichebaeva,ESP,59,LB,0,0,1,0,0,0,0,1,2,0,1,0,0,2,0,0,0,5,2,2,1,92.0,0
Bjarki Mar Elisson,ISL,8,LW,2,2,0,1,9,11,1,0,8,1,1,1,0,0,0,2,0,1,1,1,5,299.0,4
Dan Lucian Vasile,ROU,12,GK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.0,2
Tilen Kodrin,SLO,20,LW,0,0,1,1,7,3,0,0,3,0,1,2,0,0,0,2,0,1,1,0,0,291.0,1
Remi Desbonnet,FRA,92,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,167.0,2
Sebastian Carl Percy Karlsson,SWE,13,RW,1,1,0,0,11,4,1,0,12,3,0,0,0,1,0,1,0,4,1,0,3,222.0,4
Arjan Versteijnen,NED,30,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.0,2
Bozo Andjelic,MNE,32,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,23.0,2
Melvyn Richardson,FRA,9,RB,3,1,3,0,0,0,2,1,1,0,1,1,6,7,0,0,0,5,0,0,2,67.0,0
Timo Kastening,GER,73,RW,5,3,1,2,4,3,0,0,3,3,3,4,1,0,0,0,0,5,6,0,1,279.0,4
Marvin Lier,SUI,9,LW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,2
Maximilian Gerbl,SUI,27,RW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2
Iso Sluijters,NED,11,RB,0,0,2,1,0,0,2,0,0,0,1,1,1,2,0,3,0,5,1,3,5,154.0,0
Eric Damböck,AUT,45,LW,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,23.0,2
Christos Kederis,GRE,99,LW,0,0,0,0,7,2,0,0,3,2,4,4,0,0,0,0,0,0,1,0,3,101.0,1
Sigvaldi Bjørn Gudjonsson,ISL,22,RW,0,0,2,1,12,9,0,0,7,1,2,2,0,0,0,0,0,4,5,0,3,268.0,4
Dylan Nahi,FRA,31,LW,0,0,3,1,9,5,0,1,6,1,3,3,1,1,0,0,0,2,6,0,2,273.0,4
Emil Jakobsen,DEN,7,LW,0,0,2,0,13,9,0,0,4,2,1,1,0,0,0,2,0,2,1,0,1,248.0,4
Kai Häfner,GER,25,RB,0,0,5,2,0,0,5,1,1,0,0,0,4,13,0,0,0,20,3,0,6,198.0,0
Martim Costa,POR,79,LB,0,0,14,6,0,0,11,2,4,0,0,0,25,19,0,0,0,15,1,1,9,200.0,3
Andre Schmid,SUI,2,CB,0,2,3,1,0,0,2,1,3,0,1,1,10,13,0,0,0,13,1,0,8,147.0,0
Filip Taleski,MKD,11,LB,0,0,1,2,0,0,0,0,1,0,0,0,5,7,0,1,0,3,0,0,3,103.0,2
Marin Jelinic,CRO,62,LW,0,0,3,0,7,4,0,0,9,0,3,3,0,0,0,1,0,4,1,1,2,331.0,1
