Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Sebastian Hein Barthold,NOR,6,LW,0,0,2,0,5,5,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,133.0,0
Bjarki Mar Elisson,ISL,8,LW,2,2,0,1,9,11,1,0,8,1,1,1,0,0,0,2,0,1,1,1,5,299.0,0
Tilen Kodrin,SLO,20,LW,0,0,1,1,7,3,0,0,3,0,1,2,0,0,0,2,0,1,1,0,0,291.0,0
Sebastian Carl Percy Karlsson,SWE,13,RW,1,1,0,0,11,4,1,0,12,3,0,0,0,1,0,1,0,4,1,0,3,222.0,0
Timo Kastening,GER,73,RW,5,3,1,2,4,3,0,0,3,3,3,4,1,0,0,0,0,5,6,0,1,279.0,0
Christos Kederis,GRE,99,LW,0,0,0,0,7,2,0,0,3,2,4,4,0,0,0,0,0,0,1,0,3,101.0,0
Sigvaldi Bjørn Gudjonsson,ISL,22,RW,0,0,2,1,12,9,0,0,7,1,2,2,0,0,0,0,0,4,5,0,3,268.0,0
Dylan Nahi,FRA,31,LW,0,0,3,1,9,5,0,1,6,1,3,3,1,1,0,0,0,2,6,0,2,273.0,0
Emil Jakobsen,DEN,7,LW,0,0,2,0,13,9,0,0,4,2,1,1,0,0,0,2,0,2,1,0,1,248.0,0
Marin Jelinic,CRO,62,LW,0,0,3,0,7,4,0,0,9,0,3,3,0,0,0,1,0,4,1,1,2,331.0,0
Yanis Lenne,FRA,2,RW,0,0,0,0,11,9,0,0,2,1,0,0,1,0,0,1,0,3,1,0,4,265.0,0
Khazein Rustamov,GEO,7,LW,0,0,1,0,1,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,1,147.0,0
Hákun West av Teigum,FAR,17,RW,8,0,2,0,10,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,166.0,0
Alexandre Christoffersen Blonz,NOR,71,LW,13,2,1,0,15,7,0,0,7,0,1,1,0,0,0,1,0,1,3,0,3,280.0,0
Mikolaj Czaplinski,POL,44,RW,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,3,92.0,0
Bendegúz Bóka,HUN,7,LW,2,0,1,1,9,2,0,0,3,2,0,0,0,0,0,2,0,1,2,0,1,313.0,0
Stas Jovicic Slatinsek,SLO,19,LW,0,0,1,0,6,3,0,0,2,0,0,0,0,0,0,7,0,3,1,0,2,151.0,0
Mario Sostaric,CRO,6,RW,11,1,1,1,5,0,0,0,6,1,0,0,2,0,0,0,0,2,1,0,1,258.0,0
Leonel Fernandes,POR,21,LW,0,0,4,2,8,4,0,0,2,1,0,0,0,0,0,2,0,5,3,1,2,287.0,0
Jakub Hrstka,CZE,2,LW,0,3,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,87.0,0
Rune Dahmke,GER,34,LW,0,0,3,2,7,5,0,0,1,1,1,1,0,0,0,0,0,0,3,0,5,261.0,0
Hans Lindberg,DEN,18,RW,11,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0
Gabriel Cristian Ilie,ROU,3,LB,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,51.0,0
Nenad Kosteski,MKD,19,RW,0,0,1,0,10,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,147.0,0
Aleix Gómez Abelló,ESP,28,RW,8,0,0,1,4,1,0,0,2,1,10,2,0,0,0,0,0,0,2,0,2,138.0,0
Gasper Marguc,SLO,6,RW,7,3,3,0,6,1,0,0,4,0,0,1,0,0,0,2,0,0,1,0,1,252.0,0
Hampus Wanne,SWE,15,LW,20,7,1,1,5,8,0,0,10,1,0,0,0,0,0,0,0,2,1,0,1,336.0,0
Rutger ten Velde,NED,5,LW,21,3,2,5,17,11,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,241.0,0
Domen Novak,SLO,77,RW,0,0,2,3,2,3,0,0,3,2,0,0,0,0,0,0,0,1,1,0,2,218.0,0
Valentin Porte,FRA,28,RW,0,0,0,3,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,153.0,0
Pedro Portela,POR,4,RW,11,1,1,1,8,2,0,0,4,0,0,0,0,0,0,1,0,2,2,0,0,185.0,0
Daniel Fernandez Jimenez,ESP,70,LW,0,0,0,0,4,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,80.0,0
Lukas Mertens,GER,36,LW,0,0,2,0,7,9,0,0,5,0,1,1,0,0,0,0,0,2,5,0,1,269.0,0
Niclas Vest Kirkeløkke,DEN,3,RB,0,0,2,1,7,3,1,0,2,0,0,0,9,4,0,5,0,6,0,2,6,467.0,0
António Areia,POR,25,RW,8,1,1,2,1,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,179.0,0
Jakub Sterba,CZE,14,RW,2,0,2,0,3,2,0,0,2,1,2,2,0,0,0,1,0,0,1,0,0,155.0,0
Adi Mehmedcehajic,BIH,9,LW,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,132.0,0
Bence Imre,HUN,91,RW,0,2,3,0,12,2,0,0,5,1,0,0,0,0,0,0,0,2,3,0,2,256.0,0
Giorgi Arvelodi Dikhaminjia,GEO,71,RW,0,0,2,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,149.0,0
Jaroslav Trkovský,CZE,20,LB,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,88.0,0
Kevin Maagerø Gulliksen,NOR,44,RW,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69.0,0
Jakub Szyszko,POL,33,RW,0,0,1,0,1,3,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,131.0,0
Ionut Nistor Ionita,ROU,5,RW,3,1,3,0,2,4,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,145.0,0
Magnus Landin Jacobsen,DEN,4,LW,0,0,0,0,13,3,0,0,1,0,0,0,0,0,0,4,0,2,4,1,1,274.0,0
Nicusor Andrei Negru,ROU,24,LW,7,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,70.0,0
Vukasin Vorkapic,SRB,3,RW,0,0,0,0,2,3,0,0,4,0,0,0,1,0,0,1,0,1,2,0,2,72.0,0
Christoph Steinert,GER,44,RB,2,0,0,1,2,3,0,0,3,0,1,1,2,2,0,3,0,1,2,2,4,335.0,0
Odinn Thor Rikhardsson,ISL,2,RW,1,1,3,0,2,6,0,0,5,0,2,2,0,0,0,0,0,0,1,0,2,123.0,0
Daniel Pettersson,SWE,11,RW,0,0,1,2,10,5,0,0,2,0,0,0,0,0,0,1,0,1,1,0,2,319.0,0
Lucas Pellas,SWE,22,LW,11,3,0,0,8,6,0,0,6,1,0,0,0,0,0,0,0,1,1,0,1,210.0,0
Robert Weber,AUT,28,RW,13,1,1,1,11,12,0,0,3,1,5,1,0,0,0,0,0,2,0,0,4,357.0,0
Nemanja Ilic,SRB,19,LW,4,1,2,0,5,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,105.0,0
Bobby Schagen,NED,14,RW,0,1,2,2,14,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,221.0,0
Lukas Herburger,AUT,26,LP,0,0,3,0,0,0,0,1,2,2,3,0,0,0,0,6,0,0,2,4,0,228.0,0
Bogdan Radivojevic,SRB,17,RW,1,0,1,0,3,3,0,0,1,0,0,0,1,1,0,0,0,3,2,0,0,100.0,0
Alec Smit,NED,27,RW,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,67.0,0
Samuel Zehnder,SUI,29,LW,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,96.0,0
