,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.9696969696969697,5.068666026813691,0.0,0,21,0.7878787878787878,1.6030274388471861,0.0,0,9,1.0757575757575757,1.1136993940585316,1.0,0,4,0.6060606060606061,0.9903967795211074,0.0,0,5,6.015151515151516,4.316310476614968,5.0,0,17,3.787878787878788,2.8743703070419895,3.0,0,12,0.030303030303030304,0.1727334068350122,0.0,0,1,0.030303030303030304,0.1727334068350122,0.0,0,1,2.9545454545454546,2.7368247642495835,2.0,0,12,0.7121212121212122,0.7993295558952755,1.0,0,3,0.8939393939393939,1.6279178573001003,0.0,0,10,0.7121212121212122,0.9886300002474523,0.0,0,4,0.10606060606060606,0.35642618736510795,0.0,0,2,0.09090909090909091,0.2896827297511605,0.0,0,1,0.015151515151515152,0.12309149097933274,0.0,0,1,0.6818181818181818,1.1917548910240394,0.0,0,7,0.0,0.0,0.0,0,0,1.2272727272727273,1.2984660126526169,1.0,0,5,1.3181818181818181,1.4587570147121927,1.0,0,6,0.06060606060606061,0.2404347267115501,0.0,0,1,1.4393939393939394,1.325823841167769,1.0,0,5,182.87878787878788,91.49972932309944,154.0,50.0,363.0
1,0.9107142857142857,3.050782122222359,0.0,0,26,0.4017857142857143,1.026318720393483,0.0,0,7,5.0,6.43190246889436,3.0,0,37,2.3392857142857144,2.5168032470375166,1.5,0,11,0.1875,0.7887868436305746,0.0,0,7,0.10714285714285714,0.47185932506545075,0.0,0,3,2.3660714285714284,2.5924197737134094,1.0,0,10,0.8214285714285714,0.9606143465407556,1.0,0,3,0.9553571428571429,1.3246681913769265,0.0,0,7,0.15178571428571427,0.42890645420737883,0.0,0,2,0.6964285714285714,1.3874552875794506,0.0,0,8,0.5357142857142857,0.957931061001739,0.0,0,6,4.339285714285714,3.9147528115181887,4.0,0,17,5.982142857142857,5.2812470252365715,5.5,0,21,0.07142857142857142,0.2914482543129826,0.0,0,2,1.6964285714285714,2.121699496066479,1.0,0,8,0.0,0.0,0.0,0,0,8.571428571428571,5.622852800534049,7.0,0,24,1.3303571428571428,1.4605218915251474,1.0,0,6,1.2410714285714286,2.001105711081768,0.0,0,9,5.696428571428571,3.5913792821150414,5.5,0,16,169.19642857142858,83.6847192704991,150.5,42.0,467.0
2,0.09482758620689655,0.6169110072968534,0.0,0,7,0.03879310344827586,0.21472686837976218,0.0,0,2,1.1508620689655173,2.800525482220019,0.0,0,21,0.49137931034482757,0.9534234479418031,0.0,0,5,0.12931034482758622,0.49289624513070673,0.0,0,4,0.08189655172413793,0.3689458806453878,0.0,0,3,0.3017241379310345,0.7973964950537025,0.0,0,5,0.1336206896551724,0.4406692992011094,0.0,0,3,0.14224137931034483,0.4177140143218321,0.0,0,3,0.008620689655172414,0.0926464821368635,0.0,0,1,0.11637931034482758,0.40482885390664347,0.0,0,3,0.10775862068965517,0.3374595340997187,0.0,0,2,0.5301724137931034,1.2989986038261172,0.0,0,7,0.7887931034482759,1.6017453441432878,0.0,0,10,0.03017241379310345,0.1714313703309354,0.0,0,1,0.5689655172413793,1.1066437534609728,0.0,0,6,0.0,0.0,0.0,0,0,1.2112068965517242,1.665346917394963,1.0,0,8,0.21120689655172414,0.5608082527945252,0.0,0,4,0.2413793103448276,0.6529412595335465,0.0,0,4,1.0301724137931034,1.4723847504173906,0.0,0,8,67.39224137931035,66.20960112804303,54.5,0.0,421.0
3,1.8823529411764706,3.919221111094277,0.0,0,14,0.9411764705882353,1.9833868834425028,0.0,0,6,9.117647058823529,5.743282521141291,8.0,2,25,3.9411764705882355,2.135140166221357,4.0,1,9,0.11764705882352941,0.3321055820775357,0.0,0,1,0.11764705882352941,0.3321055820775357,0.0,0,1,8.176470588235293,3.1669246540936022,8.0,0,14,3.0,2.318404623873926,3.0,0,8,2.588235294117647,3.1236761901926506,2.0,0,13,0.5294117647058824,0.6242642728467978,0.0,0,2,2.588235294117647,2.5753355007020873,2.0,0,9,2.235294117647059,2.1659123875605486,2.0,0,8,12.588235294117647,8.085935501917913,14.0,0,30,14.352941176470589,7.737418630190789,15.0,0,27,0.0,0.0,0.0,0,0,1.5294117647058822,1.4627733530362594,1.0,0,5,0.0,0.0,0.0,0,0,28.823529411764707,10.76008418948039,29.0,7,53,3.1176470588235294,2.2880765104443204,2.0,0,9,2.176470588235294,4.186814035123352,1.0,0,17,14.117647058823529,5.085301772525113,15.0,4,21,319.94117647058823,68.60254239843748,314.0,200.0,434.0
