,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
174,CZE,28,Matej Havran,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,97.0,0,CB,0,0
175,ESP,20,Abel Serdio Guntín,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,59.0,0,LP,0,0
176,NED,20,Niels Gerardus Versteijnen,2,0,14,4,1,0,4,2,0,1,2,2,16,13,0,1,0,27,0,2,2,0,21,284.0,0,RB,1,0
177,DEN,3,Niclas Vest Kirkeløkke,0,0,2,1,7,3,1,0,2,0,0,0,9,4,0,5,0,6,0,0,2,0,6,467.0,0,RB,0,0
178,SWE,42,Eric Johansson,0,0,3,0,0,0,1,3,1,0,0,0,5,12,0,0,0,15,0,1,3,0,5,101.0,0,LB,0,0
179,POL,50,Jakub Skrzyniarz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,0,GK,0,0
180,AUT,29,Lukas Schweighofer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,LP,0,0
181,ROU,21,Liviu Emil Caba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,19.0,0,CB,0,0
182,FRA,34,Karl Konan,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,3,8,0,0,139.0,0,LP,0,0
183,POR,25,António Areia,8,1,1,2,1,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,179.0,0,RW,0,0
184,FAR,71,Elias Ellefsen á Skipagøtu,7,1,4,4,0,0,6,0,1,0,0,0,5,12,0,2,0,24,0,2,0,0,14,149.0,0,CB,0,0
185,FAR,61,Pauli Mittún,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LB,0,0
186,AUT,23,Nemanja Belos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LB,0,0
187,CZE,14,Jakub Sterba,2,0,2,0,3,2,0,0,2,1,2,2,0,0,0,1,0,0,0,1,0,0,0,155.0,0,RW,0,0
188,FRA,5,Nedim Remili,0,0,5,4,0,0,7,8,2,1,4,5,16,15,0,1,0,53,0,2,2,0,19,314.0,0,CB,1,0
189,MNE,16,Nebojsa Simic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,138.0,0,GK,0,0
190,GEO,30,Zurab Abramishvili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.0,0,LW,0,0
191,DEN,45,Emil Wernsdorf Madsen,3,1,0,1,0,0,1,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,1,31.0,0,RB,0,0
192,BIH,9,Adi Mehmedcehajic,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,LW,0,0
193,ESP,61,Sergey Hernandez Ferrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,GK,0,0
194,ISL,21,Arnar Freyr Arnarsson,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,95.0,0,LP,0,0
195,SWE,32,Oscar Bergendahl,0,0,10,3,0,0,0,1,1,1,0,0,0,0,0,7,0,5,0,3,2,0,4,229.0,0,LP,0,0
196,ESP,17,Adrian Figueras Trejo,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,42.0,0,LP,0,0
197,ISL,3,Janus Dadi Smarason,0,0,2,3,0,0,5,0,0,0,0,0,5,4,0,0,0,7,0,2,0,0,4,89.0,0,CB,0,0
198,CRO,30,Marko Mamic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,38.0,0,LB,0,0
199,MKD,2,Edvin Omeragikj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12.0,0,LB,0,0
200,POL,1,Mateusz Kornecki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,GK,0,0
201,NED,13,Samir Benghanem,0,0,7,3,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,3,0,3,109.0,0,LP,0,0
202,NED,6,Niko Blaauw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0,0,LB,0,0
203,CZE,10,Jonas Patzel,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,1,17.0,0,CB,0,0
204,CRO,53,Marin Šipic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,34.0,0,LP,0,0
205,ISL,18,Elliði Viðarsson,0,0,15,7,0,0,0,0,0,0,5,6,1,1,2,8,0,6,0,4,3,0,3,248.0,0,LP,0,0
206,HUN,91,Bence Imre,0,2,3,0,12,2,0,0,5,1,0,0,0,0,0,0,0,2,0,3,0,0,2,256.0,0,RW,0,0
207,GEO,71,Giorgi Arvelodi Dikhaminjia,0,0,2,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,149.0,0,RW,0,0
208,BIH,26,Igor Mandic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,LB,0,0
209,MNE,24,Milos Bozovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,LB,0,0
210,CZE,20,Jaroslav Trkovský,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,88.0,0,LB,0,0
211,SLO,88,Aleks Vlah,4,4,11,3,0,0,10,4,0,0,2,2,17,20,0,0,0,23,0,1,0,0,8,233.0,0,CB,1,0
212,GER,20,Philipp Weber,1,1,1,0,0,0,2,3,0,0,0,0,4,2,0,0,0,6,0,0,0,0,3,45.0,0,CB,0,0
213,SUI,15,Nicolas Raemy,0,0,0,0,0,1,1,3,0,0,1,1,1,2,0,0,0,3,0,0,0,0,2,55.0,0,RB,0,0
214,ROU,30,Andrei Valeriu Dragan,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,2,34.0,0,CB,0,0
215,NOR,44,Kevin Maagerø Gulliksen,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0,RW,0,0
216,BIH,17,Luka Peric,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,83.0,0,RW,0,0
217,SRB,24,Lazar Kukic,0,0,2,3,0,0,6,1,0,0,0,0,4,2,0,0,0,6,0,2,0,0,8,83.0,0,CB,0,0
218,DEN,34,Simon Hald Jensen,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0,2,175.0,0,LP,0,0
219,SWE,19,Felix Claar,0,0,5,1,0,0,14,3,4,0,1,1,14,10,0,1,0,36,0,6,0,0,18,305.0,0,CB,0,0
220,GRE,38,Evangelos Arampatzis,0,0,1,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,112.0,0,RW,0,0
221,ESP,6,Angel Fernandez Perez,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,88.0,0,LW,0,0
222,SRB,23,Predrag Vejin,0,0,0,3,0,0,1,2,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,63.0,0,RB,0,0
223,POL,33,Jakub Szyszko,0,0,1,0,1,3,0,0,1,0,1,2,0,0,0,1,0,1,0,2,0,0,0,131.0,0,RW,0,0
224,ROU,5,Ionut Nistor Ionita,3,1,3,0,2,4,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,145.0,0,RW,0,0
225,GEO,9,Giorgi Areshidze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,CB,0,0
226,MKD,38,Ivan Djonov,0,0,1,0,2,0,3,1,0,0,0,0,0,2,0,1,0,4,0,0,0,0,4,77.0,0,LB,0,0
227,MNE,9,Radojica Cepic,0,0,2,1,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,2,0,0,5,110.0,0,CB,0,0
228,NOR,42,Gabriel Setterblom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,RB,0,0
229,POL,4,Piotr Jedraszczyk,0,0,2,2,0,0,5,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,2,51.0,0,CB,0,0
230,DEN,4,Magnus Landin Jacobsen,0,0,0,0,13,3,0,0,1,0,0,0,0,0,0,4,0,2,0,4,1,0,1,274.0,0,LW,0,0
233,GRE,6,Theodoros Boskos,0,0,0,0,0,0,2,0,1,0,0,0,5,7,0,1,0,4,0,1,0,0,4,60.0,0,LB,0,0
234,NOR,23,Gøran Søgard Johannessen,0,0,5,3,0,0,3,0,1,0,0,0,4,3,0,1,0,6,0,0,0,0,6,113.0,0,LB,0,0
235,DEN,43,Simon Bogetoft Pytlick,0,0,9,4,1,0,11,5,1,1,0,0,15,15,0,1,0,36,0,2,3,0,13,339.0,0,LB,1,0
236,ROU,24,Nicusor Andrei Negru,7,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,70.0,0,LW,0,0
237,SRB,11,Ilija Abutovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,26.0,0,LB,0,0
238,SLO,11,Jure Dolenec,0,2,6,2,0,0,5,0,1,0,0,0,7,6,0,1,0,16,0,0,1,0,10,191.0,0,RB,0,0
239,SRB,22,Milos Orbovic,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,2,53.0,0,RB,0,0
240,SWE,24,Jim Gottfridsson,0,0,2,2,0,0,9,2,0,0,0,1,12,13,0,3,0,29,0,2,0,0,19,270.0,0,CB,1,0
241,GER,3,Nils Lichtlein,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,25.0,0,CB,0,0
242,POL,2,Damian Przytula,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,17.0,0,LB,0,0
243,MKD,20,Marko Kizikj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,GK,0,0
244,GER,17,Lukas Zerbe,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0,RW,0,0
245,SRB,3,Vukasin Vorkapic,0,0,0,0,2,3,0,0,4,0,0,0,1,0,0,1,0,1,0,2,0,0,2,72.0,0,RW,0,0
246,GER,44,Christoph Steinert,2,0,0,1,2,3,0,0,3,0,1,1,2,2,0,3,0,1,0,2,2,0,4,335.0,0,RB,0,0
247,NOR,5,Sander Sagosen,3,1,8,5,0,0,7,0,2,0,0,0,6,19,0,1,0,34,0,0,0,0,13,239.0,0,LB,0,0
248,MKD,12,Martin Tomovski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,GK,0,0
249,CRO,1,Dominik Kuzmanovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,198.0,0,GK,1,0
250,GER,11,Sebastian Heymann,0,0,2,0,0,0,5,2,2,0,0,0,12,15,0,6,0,13,0,3,2,0,8,175.0,0,LB,0,0
251,NOR,13,Erik Thorsteinsen Toft,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,12.0,0,LB,0,0
252,ESP,25,Agustín Casado Marcelo,0,0,0,1,0,0,3,0,0,0,2,0,3,2,0,0,0,6,0,0,0,0,9,82.0,0,LB,0,0
253,GEO,34,Miriani Gavashelishvili,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,5,0,2,1,0,6,105.0,0,LB,0,0
254,POR,82,Luís Frade,0,0,23,10,0,0,0,1,2,0,0,0,0,0,0,3,0,8,0,1,1,0,4,262.0,0,LP,1,0
255,FRA,14,Kentin Mahé,8,3,5,1,0,0,1,2,0,0,2,2,5,3,0,1,0,9,0,1,0,0,4,72.0,0,CB,0,0
256,NED,22,Luc Steins,0,0,8,4,0,0,7,3,3,0,3,4,0,0,0,1,0,41,0,4,1,0,15,310.0,0,CB,1,0
257,HUN,30,Zoltan Szita,0,0,2,0,1,0,1,0,2,0,0,0,5,8,0,1,0,7,0,3,0,0,7,222.0,0,LB,0,0
258,BIH,15,Adin Faljic,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,107.0,0,LP,0,0
259,NOR,15,Kent Robin Tønnesen,0,0,1,1,0,0,1,0,0,0,0,0,4,3,0,2,0,3,0,0,2,0,4,79.0,0,RB,0,0
260,ISL,2,Odinn Thor Rikhardsson,1,1,3,0,2,6,0,0,5,0,2,2,0,0,0,0,0,0,0,1,0,0,2,123.0,0,RW,0,0
262,DEN,15,Magnus Saugstrup Jensen,0,0,10,3,0,0,0,0,4,1,0,0,0,0,0,2,0,11,0,6,9,0,1,405.0,0,LP,1,0
263,MNE,1,Nikola Matovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,GK,0,0
264,NED,7,Robin Schoenaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,1,4,0,0,220.0,0,LB,0,0
265,CZE,17,Stanislav Kasparek,0,0,1,0,0,0,1,1,0,0,0,0,6,8,0,3,0,1,0,0,0,0,1,53.0,0,RB,0,0
266,GRE,40,Panagiotis Papantonopoulos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18.0,0,GK,0,0
267,NOR,24,Christian O'Sullivan,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,8,0,6,0,0,4,161.0,0,CB,0,0
268,POL,8,Bartlomiej Bis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,86.0,0,LP,0,0
269,BIH,80,Amir Muhovic,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,54.0,0,LP,0,0
270,CZE,34,Dominik Solak,0,1,0,1,0,0,0,1,0,1,0,0,4,2,1,2,0,1,0,1,0,0,1,74.0,0,LB,0,0
271,POL,34,Przemyslaw Urbaniak,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,2,70.0,0,LW,0,0
272,MNE,8,Vuk Lazovic,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,2,101.0,0,LP,0,0
273,MKD,17,Nikola Markoski,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,77.0,0,LP,0,0
274,AUT,7,Janko Bozovic,0,0,1,0,0,0,1,1,0,0,3,1,5,6,0,1,0,2,0,0,0,0,2,95.0,0,RB,0,0
275,FRA,8,Elohim Prandi,0,0,6,1,0,0,4,3,1,0,0,0,11,18,0,2,0,15,0,0,4,0,5,222.0,0,LB,0,0
276,MKD,36,Milan Lazarevski,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,68.0,0,LP,0,0
277,SLO,31,Tadej Mazej,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24.0,0,LW,0,0
278,SUI,12,Leonard Grazioli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,GK,0,0
279,GEO,15,Irakli Gogoladze,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,RW,0,0
280,NOR,43,Simen Ulstad Lyse,0,0,0,2,0,0,0,0,1,0,0,0,7,16,0,0,0,15,0,0,0,0,2,131.0,0,LB,0,0
281,SWE,11,Daniel Pettersson,0,0,1,2,10,5,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,2,319.0,0,RW,0,0
282,GEO,87,David Nikabadze,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,50.0,0,GK,0,0
283,NOR,12,Kristian Skinstad Sæverås,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,GK,0,0
284,ROU,22,Sabin Constantina,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,36.0,0,LW,0,0
285,SRB,96,Dejan Milosavljev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110.0,0,GK,0,0
286,GRE,11,Charalampos Mallios,3,1,1,1,0,0,0,1,0,0,0,0,4,6,0,0,0,3,0,0,0,0,2,44.0,0,CB,0,0
287,SWE,22,Lucas Pellas,11,3,0,0,8,6,0,0,6,1,0,0,0,0,0,0,0,1,0,1,0,0,1,210.0,0,LW,0,0
288,ROU,18,Marius Sadoveac,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,18.0,0,RW,0,0
289,POL,9,Szymon Sicko,1,0,8,1,0,0,1,0,0,0,0,0,9,10,0,0,0,8,0,2,0,0,6,104.0,0,LB,0,0
290,SRB,21,Vanja Ilic,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,54.0,0,LW,0,0
291,POR,34,Goncalo Vieira,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,CB,0,0
292,SRB,1,Vladimir Cupara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55.0,0,GK,0,0
293,SUI,20,Luka Maros,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,38.0,0,LB,0,0
294,GRE,77,Savvas Savvas,0,2,0,4,0,0,0,0,1,0,0,0,7,8,0,0,0,3,0,0,0,0,6,94.0,0,LB,0,0
295,NOR,7,Sander Andreassen Øverjordet,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,1,17.0,0,CB,0,0
296,NOR,77,Magnus Abelvik Rød,0,0,4,0,0,0,3,0,0,0,1,1,0,3,0,0,0,3,0,0,0,0,3,56.0,0,RB,0,0
297,ROU,10,Stefan Gabriel Cumpanici,0,0,2,2,0,1,0,1,0,2,1,1,2,2,0,1,0,5,0,2,0,0,4,71.0,0,CB,0,0
298,FRA,11,Nicolas Tournat,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,60.0,0,LP,0,0
299,POR,31,Salvador Salvador,0,0,2,4,0,0,1,0,4,1,5,5,2,6,0,4,0,10,0,6,1,0,3,239.0,0,LB,0,0
300,AUT,57,Jakob Nigg,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,38.0,0,RW,0,0
301,ISL,16,Viktor Hallgrímsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,262.0,0,GK,0,0
302,MNE,11,Branko Vujovic,0,0,1,1,2,0,0,1,1,0,1,2,10,9,0,1,0,5,0,2,0,0,7,119.0,0,RB,0,0
303,SWE,5,Max Darj,0,0,20,4,0,0,0,0,2,0,0,0,0,0,0,5,0,4,0,2,6,0,2,295.0,0,LP,0,0
304,GER,80,Jannik Kohlbacher,0,0,12,7,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,160.0,0,LP,0,0
305,GER,1,David Späth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100.0,0,GK,0,0
306,DEN,25,Lukas Lindhard Jørgensen,0,0,16,7,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,1,1,0,3,152.0,0,LP,0,0
307,AUT,28,Robert Weber,13,1,1,1,11,12,0,0,3,1,5,1,0,0,0,0,0,2,0,0,0,0,4,357.0,0,RW,1,1
308,SRB,19,Nemanja Ilic,4,1,2,0,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,105.0,0,LW,0,0
309,NED,23,Jorn Smits,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,21.0,0,LB,0,0
310,HUN,28,Szabolcs Szöllösi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LP,0,0
311,NED,28,Tim Claessens,0,0,2,3,0,0,0,0,1,0,1,1,0,0,0,4,0,1,0,0,0,0,1,38.0,0,LP,0,0
312,NED,14,Bobby Schagen,0,1,2,2,14,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,221.0,0,RW,0,0
313,GER,38,Martin Hanne,0,0,2,0,0,0,1,2,0,0,0,0,1,4,0,1,0,2,0,0,0,0,1,40.0,0,LB,0,0
314,AUT,26,Lukas Herburger,0,0,3,0,0,0,0,1,2,2,3,0,0,0,0,6,0,0,0,2,4,0,0,228.0,0,LP,0,0
315,ROU,23,Calin Dedu,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0,LP,0,0
316,SUI,13,Michael Kusio,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10.0,0,RB,0,0
317,SLO,44,Dean Bombac,3,1,3,4,0,0,1,1,0,0,0,0,3,8,0,0,0,15,0,0,0,0,11,237.0,0,CB,0,0
318,AUT,98,Constantin Möstl,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,289.0,0,GK,1,0
319,SRB,17,Bogdan Radivojevic,1,0,1,0,3,3,0,0,1,0,0,0,1,1,0,0,0,3,0,2,0,0,0,100.0,0,RW,0,0
320,AUT,97,Michael Miskovez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,0,0,139.0,0,RB,0,0
321,SWE,16,Tobias Alexander Gustav Thulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163.0,0,GK,0,0
322,GRE,18,Georgios Papavasilis,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71.0,0,LW,0,0
323,SUI,3,Lucas Meister,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,130.0,0,LP,0,0
324,CRO,20,Mateo Maraš,0,0,1,1,0,0,1,0,1,0,0,0,6,11,0,3,0,2,0,0,1,0,3,93.0,0,RB,0,0
325,ISL,25,Haukur Thrastarson,0,0,5,1,0,0,2,0,0,0,0,0,3,10,0,0,0,8,0,1,1,0,4,68.0,0,CB,0,0
326,HUN,32,Kristóf Laszlo Palasics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,0,GK,0,0
327,ESP,5,Jorge Maqueda Peno,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,0,1,1,0,0,78.0,0,RB,0,0
328,CRO,18,Igor Karacic,0,0,3,3,1,0,7,1,0,0,0,0,8,8,0,0,0,9,0,0,1,0,10,145.0,0,CB,0,0
329,SWE,28,Jonathan Edvardsson,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,2,32.0,0,CB,0,0
330,ESP,21,Joan Cañellas Reixach,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,1,0,0,1,71.0,0,LB,0,0
331,HUN,24,Gergö Fazekas,0,0,2,2,0,0,7,2,0,0,0,0,9,2,0,1,0,13,0,2,0,0,7,157.0,0,CB,0,0
332,SRB,5,Miloš Kos,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,2,0,4,0,1,0,0,2,28.0,0,LB,0,0
333,SUI,16,Nikola Portner,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,152.0,0,GK,0,0
334,GEO,10,Irakli Kbilashvili,0,0,3,0,0,0,0,2,2,0,0,0,1,6,0,1,0,10,0,1,1,0,13,122.0,0,CB,0,0
335,AUT,39,Ralf Patrick Häusle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58.0,0,GK,0,0
336,GEO,21,Sandro Darsania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,RB,0,0
337,MKD,18,Filip Kuzmanovski,0,2,0,1,0,0,3,0,0,2,0,0,5,6,0,0,0,17,0,0,0,0,13,93.0,0,CB,0,0
338,FAR,47,Ísak Jógvan Djurhuus Vedelsbøl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,LP,0,0
339,HUN,33,Gábor Ancsin,0,0,4,1,0,1,3,1,0,0,0,0,17,21,0,4,0,10,0,0,1,0,8,215.0,0,RB,1,0
340,NED,27,Alec Smit,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,67.0,0,RW,0,0
341,ISL,4,Aron Pálmarsson,0,0,5,3,0,0,2,1,2,0,1,1,15,13,0,2,0,21,0,5,0,0,6,242.0,0,LB,0,0
342,SWE,12,Andreas Palicka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,303.0,0,GK,1,0
343,GER,33,Andreas Wolff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.0,0,GK,1,1
344,ROU,13,Adrian Vladut Rotaru,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,LP,0,0
345,SUI,29,Samuel Zehnder,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,96.0,0,LW,0,0
346,NED,15,Lars Kooij,0,0,18,7,0,0,0,0,0,1,0,1,0,0,0,4,0,4,0,2,3,0,5,209.0,0,LP,0,0
347,FRA,17,Timothey N'guessan,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,59.0,0,LB,0,0
348,MNE,4,Aleksandar Bakic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,LW,0,0
349,BIH,34,Marko Davidovic,0,0,0,1,0,1,3,0,1,0,0,0,3,3,0,0,0,7,0,0,0,0,6,110.0,0,CB,0,0
350,ROU,14,Demis Cosmin Grigoras,0,0,5,3,0,0,3,0,0,0,0,0,3,9,0,0,0,5,0,1,0,0,3,76.0,0,RB,0,0
351,DEN,24,Mikkel Hansen,26,3,3,0,0,0,1,2,0,0,0,0,5,9,0,0,0,14,0,0,0,0,4,97.0,0,LB,0,0
352,POL,12,Ariel Pietrasik,0,0,0,2,0,0,1,0,1,0,1,1,5,5,0,0,0,2,0,0,0,0,1,81.0,0,LB,0,0
353,GER,23,Renars Uscins,0,0,4,3,0,0,7,3,1,0,0,0,5,10,0,0,0,10,0,0,0,0,11,154.0,0,RB,0,0
355,MNE,6,Milos Vujovic,5,1,3,2,3,0,0,0,2,1,0,0,0,1,0,2,0,2,0,1,0,0,3,155.0,0,LW,0,0
356,FRA,25,Hugo Descat,13,9,0,1,13,5,0,0,7,2,2,2,0,0,0,1,0,0,0,1,0,0,4,269.0,0,LW,0,0
