,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
39,HUN,4,Petra Füzi-Tóvizi,0,0,6,5,0,0,0,0,0,1,0,1,0,0,0,2,0,4,0,3,1,0,5,312.0,0,LP,0,0
41,POR,99,Maria Unjanque,0,0,0,3,0,0,1,0,0,0,0,0,2,6,0,0,0,1,0,1,1,0,3,51.0,0,LB,0,0
42,SVK,74,Erika Rajnohová,0,0,2,0,0,0,4,2,0,0,0,0,0,4,0,1,0,3,0,0,0,0,6,113.0,0,CB,0,0
43,ESP,58,María Prieto O'Mullony,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3.0,0,RB,0,0
44,AUT,11,Fabienne Tomasini,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,85.0,0,RW,0,0
45,CZE,34,Julie Franková,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,4,0,0,102.0,0,CB,0,0
46,POR,23,Patrícia Rodrigues,8,3,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,63.0,0,RW,0,0
47,NOR,7,Stine Ruscetta Skogrand,7,3,4,4,0,1,8,0,1,0,1,1,2,1,0,0,0,30,0,6,2,0,9,384.0,0,RB,1,0
48,SUI,20,Alessia Riner,0,0,3,0,9,6,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,4,260.0,0,LW,0,0
49,AUT,5,Sonja Frey,0,0,4,4,0,0,0,0,0,0,0,0,1,3,0,0,0,8,0,2,0,0,3,63.0,0,CB,0,0
50,POR,8,Constança Sequeira,0,0,4,2,0,0,0,1,0,0,0,0,1,2,0,1,0,3,0,0,0,0,4,74.0,0,CB,0,0
51,MKD,14,Ivana Djatevska,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,5,132.0,0,LP,0,0
52,GER,93,Julia Behnke,0,0,10,4,0,0,0,0,4,0,1,1,0,0,0,4,0,5,0,2,1,0,4,249.0,0,LP,0,0
53,MNE,90,Milena Raicevic,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,21.0,0,CB,0,0
56,SRB,22,Jovana Jovovic,3,1,1,0,0,0,8,4,0,0,0,0,1,5,0,2,0,7,0,1,1,0,9,159.0,0,LB,0,0
58,CZE,38,Anna Frankova,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,83.0,0,RW,0,0
59,DEN,4,Helene Kindberg Hansen,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,73.0,0,RB,0,0
61,POR,27,Beatriz Fabiana Sousa,0,0,1,0,1,0,5,0,0,0,0,1,0,10,0,1,0,4,0,0,0,0,7,115.0,0,RB,0,0
62,ESP,68,Lyndie Tchaptchet Defo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,2,122.0,0,LP,0,0
63,UKR,17,Andriyana Naumenko,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,80.0,0,LP,0,0
64,UKR,24,Sofiia Bezrukova,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,3,38.0,0,CB,0,0
65,FAR,13,Brynja Høj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,50.0,0,LP,0,0
66,HUN,44,Gréta Kácsor,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,15.0,0,LB,0,0
67,CRO,35,Josipa Mamic,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,42.0,0,RW,0,0
68,FRA,5,Clarisse Mairot,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,7,49.0,0,LB,0,0
70,CRO,43,Klara Birtic,0,0,2,0,0,0,2,0,0,0,0,0,6,3,0,2,0,2,0,0,0,0,2,88.0,0,RB,0,0
71,SUI,4,Laurentia Wolff,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,36.0,0,CB,0,0
72,DEN,5,Sarah Iversen,0,0,11,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,134.0,0,LP,0,0
73,SWE,6,Carin Strömberg,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,10,0,0,0,0,7,35.0,0,CB,0,0
74,POR,16,Jessica Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.0,0,GK,0,0
75,POL,34,Marlena Urbanska,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,5,0,5,194.0,0,LP,0,0
76,GER,9,Lisa Antl,0,0,15,5,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,4,119.0,0,LP,0,0
77,AUT,44,Nora Leitner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,LP,0,0
78,CZE,79,Sabrina Novotná,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,144.0,0,GK,0,0
79,MKD,31,Andrea Sedloska,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,5,38.0,0,LB,0,0
80,NED,29,Sarah Dekker,0,0,1,0,6,4,0,0,7,1,0,0,0,0,0,0,0,0,0,5,0,0,3,175.0,0,RW,0,0
81,SUI,1,Lea Schüpbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,305.0,0,GK,0,0
82,CRO,12,Ivana Kapitanovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,GK,0,0
83,SWE,55,Clara Petersson Bergsten,0,0,1,0,4,3,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,102.0,0,RW,0,0
84,POR,22,Nádia Rodrigues,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,82.0,0,LP,0,0
85,HUN,59,Csenge Kuczora,2,3,9,5,0,0,7,4,0,0,2,3,15,19,0,3,0,19,0,4,0,0,14,303.0,0,LB,1,0
86,POR,7,Bebiana Catarina Rodrigues Sabino,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,102.0,0,LP,0,0
87,POL,26,Paulina Wdowiak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,52.0,0,GK,0,0
88,GER,30,Jenny Behrend,0,0,1,0,12,5,0,0,3,3,0,0,0,0,0,2,0,1,0,1,0,0,3,313.0,0,RW,0,0
89,NED,19,Merel Freriks,0,0,20,9,0,0,0,0,3,1,1,2,0,0,0,4,0,5,0,2,4,0,4,243.0,0,LP,0,0
90,FAR,6,Marita Mortensen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,0,LB,0,0
